Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1991","1991","7021","Annual value","LCU","58000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1992","1992","7021","Annual value","LCU","73000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1993","1993","7021","Annual value","LCU","43000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1994","1994","7021","Annual value","LCU","62000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1995","1995","7021","Annual value","LCU","95000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1996","1996","7021","Annual value","LCU","112000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1997","1997","7021","Annual value","LCU","132000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1998","1998","7021","Annual value","LCU","102000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1999","1999","7021","Annual value","LCU","83000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2000","2000","7021","Annual value","LCU","86000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2001","2001","7021","Annual value","LCU","95000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2002","2002","7021","Annual value","LCU","99000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2003","2003","7021","Annual value","LCU","74000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2004","2004","7021","Annual value","LCU","87000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2005","2005","7021","Annual value","LCU","156000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2006","2006","7021","Annual value","LCU","111000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2007","2007","7021","Annual value","LCU","96000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2008","2008","7021","Annual value","LCU","182000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2009","2009","7021","Annual value","LCU","165000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7021","Annual value","LCU","136000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7001","January","LCU","134000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7002","February","LCU","142000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7003","March","LCU","150000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7004","April","LCU","152000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7005","May","LCU","148000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7006","June","LCU","156000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7007","July","LCU","140000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7008","August","LCU","131000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7009","September","LCU","119000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7010","October","LCU","109000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7011","November","LCU","120000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7012","December","LCU","139000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7021","Annual value","LCU","155000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7001","January","LCU","142000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7002","February","LCU","147000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7003","March","LCU","142000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7004","April","LCU","168000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7005","May","LCU","164000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7006","June","LCU","179000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7007","July","LCU","179000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7008","August","LCU","173000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7009","September","LCU","139000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7010","October","LCU","131000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7011","November","LCU","136000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7012","December","LCU","161000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2012","2012","7021","Annual value","LCU","161000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2012","2012","7001","January","LCU","160000","A","Official figure"
"PP","Producer Prices","768","Togo","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2012","2012","7002","February","LCU","158000","A","Official figure"
