Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1961","1961","1000 Int$","14633","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1962","1962","1000 Int$","16869","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1963","1963","1000 Int$","13278","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1964","1964","1000 Int$","15456","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1965","1965","1000 Int$","15692","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1966","1966","1000 Int$","20468","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1967","1967","1000 Int$","18678","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1968","1968","1000 Int$","23084","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1969","1969","1000 Int$","23084","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1970","1970","1000 Int$","36533","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1971","1971","1000 Int$","36533","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1972","1972","1000 Int$","23092","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1973","1973","1000 Int$","23225","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1974","1974","1000 Int$","25171","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1975","1975","1000 Int$","27117","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1976","1976","1000 Int$","18973","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1977","1977","1000 Int$","24837","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1978","1978","1000 Int$","27841","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1979","1979","1000 Int$","31978","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1980","1980","1000 Int$","27779","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1981","1981","1000 Int$","30304","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1982","1982","1000 Int$","30296","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1983","1983","1000 Int$","29038","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1984","1984","1000 Int$","44514","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1985","1985","1000 Int$","36448","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1986","1986","1000 Int$","25497","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1987","1987","1000 Int$","34552","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1988","1988","1000 Int$","59486","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1989","1989","1000 Int$","57680","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1990","1990","1000 Int$","57299","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1991","1991","1000 Int$","46449","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1992","1992","1000 Int$","55812","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1993","1993","1000 Int$","78903","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1994","1994","1000 Int$","69783","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1995","1995","1000 Int$","58299","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1996","1996","1000 Int$","77796","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1997","1997","1000 Int$","90763","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1998","1998","1000 Int$","70353","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1999","1999","1000 Int$","99075","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2000","2000","1000 Int$","96764","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2001","2001","1000 Int$","107986","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2002","2002","1000 Int$","102390","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2003","2003","1000 Int$","107986","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2004","2004","1000 Int$","105113","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2005","2005","1000 Int$","102266","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2006","2006","1000 Int$","109066","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2007","2007","1000 Int$","109610","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2008","2008","1000 Int$","118453","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2009","2009","1000 Int$","130825","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2010","2010","1000 Int$","128093","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2011","2011","1000 Int$","130643","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2012","2012","1000 Int$","165746","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2013","2013","1000 Int$","139029","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2014","2014","1000 Int$","167219","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2015","2015","1000 Int$","159514","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2016","2016","1000 Int$","165984","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2017","2017","1000 Int$","171563","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2018","2018","1000 Int$","177975","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2019","2019","1000 Int$","183085","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2020","2020","1000 Int$","177654","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2021","2021","1000 Int$","186484","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2022","2022","1000 Int$","192110","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2023","2023","1000 Int$","203341","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1991","1991","1000 SLC","13421200","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1992","1992","1000 SLC","20297066","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1993","1993","1000 SLC","16902268","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1994","1994","1000 SLC","21553990","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1995","1995","1000 SLC","27591040","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1996","1996","1000 SLC","43406944","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1997","1997","1000 SLC","59684988","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1998","1998","1000 SLC","35749368","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1999","1999","1000 SLC","40966310","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2000","2000","1000 SLC","41456730","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2001","2001","1000 SLC","51106200","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2002","2002","1000 SLC","50498316","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2003","2003","1000 SLC","39809040","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2004","2004","1000 SLC","45557289","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2005","2005","1000 SLC","79477008","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2006","2006","1000 SLC","60310962","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2007","2007","1000 SLC","52420800","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2008","2008","1000 SLC","107399292","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2009","2009","1000 SLC","107536935","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2010","2010","1000 SLC","86785544","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2011","2011","1000 SLC","100878805","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","132939310","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","105969330","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","106629632","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","126351099","A","Official figure"
"QV","Value of Agricultural Production","768","Togo","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","141399216","A","Official figure"
