Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","148000","E","Estimated value",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","492.6","E","Estimated value",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1961","1961","t","72900","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","138981","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","604.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1962","1962","t","84039","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","139000","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","475.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1963","1963","t","66150","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","175000","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","440","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1964","1964","t","77000","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1965","1965","ha","183745","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","425.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1965","1965","t","78174","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1966","1966","ha","192075","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","530.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1966","1966","t","101968","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1967","1967","ha","188171","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","494.5","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5510","Production","0112","Maize (corn)","1967","1967","t","93050","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5312","Area harvested","0112","Maize (corn)","1968","1968","ha","199000","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","577.9","A","Official figure",""
