Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1991","1991","","12.12","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1992","1992","","10.8","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1993","1993","","22.83","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1994","1994","","28.11","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1995","1995","","14.43","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1996","1996","","102.64","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1997","1997","","52.99","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1998","1998","","23.43","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","1999","1999","","31.86","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2000","2000","","29.55","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2001","2001","","27.91","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2002","2002","","41.84","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2003","2003","","21.28","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2004","2004","","15.01","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01708","Bambara beans, dry","2005","2005","","18.62","E","Estimated value"
