Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","65.787995","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","65.283616","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","62.59101","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","62.266121","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","62.808826","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","62.809571","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","60.623838","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","58.012551","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","52.742034","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","52.376062","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","52.228586","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2000","2000","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","54.914745","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","58.021035","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","59.878038","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","60.326956","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","62.375558","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","64.641781","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","65.419005","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","68.044298","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","66.963729","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","61.137217","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","60.095768","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","61.005148","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2001","2001","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","62.384908","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","65.767304","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","63.782003","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","65.58218","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","68.733307","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","71.149773","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","70.730534","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","67.104878","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","63.882237","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","60.03826","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","60.187525","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","59.992937","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2002","2002","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","61.649578","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","63.017374","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","63.032621","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","62.24738","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","63.775945","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","67.118328","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","67.494959","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","64.058996","X","Chiffre de source externe","base year is 2015"
