Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1961","1961","1000 ha","1870","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1962","1962","1000 ha","1870","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1963","1963","1000 ha","1870","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1964","1964","1000 ha","1870","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1965","1965","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1966","1966","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1967","1967","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1968","1968","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1969","1969","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1970","1970","1000 ha","1875","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1971","1971","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1972","1972","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1973","1973","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1974","1974","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1975","1975","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1976","1976","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1977","1977","1000 ha","1880","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1978","1978","1000 ha","1980","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1979","1979","1000 ha","2030","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1980","1980","1000 ha","2035","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1981","1981","1000 ha","2035","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1982","1982","1000 ha","2035","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1983","1983","1000 ha","2035","I","Valeur imputée par une agence réceptrice",""
