Code Domaine,Domaine,Code zone (M49),Zone,Code indicateur,Indicateur,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2010","2010","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2010","2010","%","126.66","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2011","2011","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2011","2011","%","100.74","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2012","2012","","1.03","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2012","2012","%","148.45","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2013","2013","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2013","2013","%","168.48","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2014","2014","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2014","2014","%","142.26","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2015","2015","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2015","2015","%","122.1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2016","2016","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2016","2016","%","21.09","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2017","2017","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2017","2017","%","25.29","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2018","2018","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2018","2018","%","56.74","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2019","2019","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2019","2019","%","78.93","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2020","2020","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2020","2020","%","54.64","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2021","2021","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2021","2021","%","41.53","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","502","Self-sufficiency ratio","0112","Maïs","2023","2023","","1","E","Valeur estimée",""
"TCLI","Indicateurs sur les cultures et les produits animaux","768","Togo","506","Terms of trade","0112","Maïs","2023","2023","%","95.82","E","Valeur estimée",""
